Address Offset,Name,Value,Type,Size,Scale Factor,Units,Mandatory (M),Label,Sol-Ark Register ID,Sol-Ark Register Desc,Notes
48,TotWhInjL1,,uint64,,TotWh_SF,Wh,,Total Watt-Hours Inj L1,UNIMPLEMENTED,,
52,TotWhAbsL1,,uint64,,TotWh_SF,Wh,,Total Watt-Hours Abs L1,UNIMPLEMENTED,,
56,TotVarhInjL1,,uint64,,TotVarh_SF,Varh,,Total Var-Hours Inj L1,UNIMPLEMENTED,,
60,TotVarhAbsL1,,uint64,,TotVarh_SF,Varh,,Total Var-Hours Abs L1,UNIMPLEMENTED,,
L2,,,,,,,,,,,
64,WL2,,int16,,W_SF,W,,Watts L2,"623 Low Word, 688 High Word","623 Grid Side Phase B Power Low Word, 688, Grid Side Phase B Power High Word",32bit
65,VAL2,,int16,,VA_SF,VA,,VA L2,UNIMPLEMENTED,,
66,VarL2,,int16,,Var_SF,Var,,Var L2,711,Grid Phase B Reactive Power,10 VAR
67,PFL2,,int16,,PF_SF,,,PF L2,UNIMPLEMENTED,,
68,AL2,,int16,,A_SF,A,,Amps L2,611,Grid Internal CT Phase B Current,0.01A
69,VL2L3,,uint16,,V_SF,V,,Phase Voltage L2-L3,Register 599 * 1.732,Grid Phase B Voltage * sqrt(3),0.1V
70,VL2,,uint16,,V_SF,V,,Phase Voltage L2-N,599,Grid Phase B Voltage,0.1V
71,TotWhInjL2,,uint64,,TotWh_SF,Wh,,Total Watt-Hours Inj L2,UNIMPLEMENTED,,
75,TotWhAbsL2,,uint64,,TotWh_SF,Wh,,Total Watt-Hours Abs L2,UNIMPLEMENTED,,
79,TotVarhInjL2,,uint64,,TotVarh_SF,Varh,,Total Var-Hours Inj L2,UNIMPLEMENTED,,
83,TotVarhAbsL2,,uint64,,TotVarh_SF,Varh,,Total Var-Hours Abs L2,UNIMPLEMENTED,,
L3,,,,,,,,,,,
87,WL3,,int16,,W_SF,W,,Watts L3,"624 Low Word, 689 High Word","624 Grid Side Phase C Power Low Word, 689, Grid Side Phase C Power High Word",32bit
88,VAL3,,int16,,VA_SF,VA,,VA L3,UNIMPLEMENTED,,
89,VarL3,,int16,,Var_SF,Var,,Var L3,712,Grid Phase C Reactive Power,10 VAR
90,PFL3,,int16,,PF_SF,,,PF L3,UNIMPLEMENTED,,
91,AL3,,int16,,A_SF,A,,Amps L3,612,Grid Internal CT Phase C Current,0.01A
92,VL3L1,,uint16,,V_SF,V,,Phase Voltage L3-L1,Register 600 * 1.732,Grid Phase C Voltage * sqrt(3),0.1V
93,VL3,,uint16,,V_SF,V,,Phase Voltage L3-N,600,Grid Phase C Voltage,0.1V
